date,temp_avg,hum_avg,rainfall,sunshine,wind_velo,iod,nino
1981-01-31,813.4,2560.0,502.90000000000003,248.0,129.0,0.05,-0.2
1981-02-28,743.9,2323.0,557.4,224.0,89.0,0.25,-0.46
1981-03-31,856.1,2486.0,352.0,248.0,69.0,-0.15,-0.38
1981-04-30,827.0,2434.0,385.9,240.0,65.0,0.39,-0.12
1981-05-31,851.6,2468.0,190.3,248.0,83.0,0.2,-0.14
1981-06-30,830.1,2303.0,166.4,240.0,71.0,-0.14,-0.09
1981-07-31,831.5,2388.0,41.8,248.0,63.0,-0.46,-0.3
1981-08-31,838.5,2216.0,0.0,248.0,96.0,-0.49,-0.27
1981-09-30,830.8,2178.0,19.799999999999997,240.0,108.0,-0.51,0.01
1981-10-31,891.8,2144.0,14.0,248.0,99.0,-0.4,-0.06
1981-11-30,836.7,2353.0,146.3,240.0,75.0,-0.29,-0.17
1981-12-31,844.4,2554.0,381.4,248.0,90.0,-0.22,-0.02
1982-01-31,820.5,2599.0,461.8,248.0,140.0,0.0,0.29
1982-02-28,742.5,2364.0,579.8,136.4,113.0,0.23,0.01
1982-03-31,830.9,2567.0,359.2,165.5,121.0,0.31,0.38
1982-04-30,825.4,2427.0,280.7,177.3,111.0,0.31,0.62
1982-05-31,840.7,2346.0,54.0,230.9,96.0,0.52,0.88
1982-06-30,797.2,2256.0,5.5,228.1,118.0,0.36,0.9
1982-07-31,798.6,2303.0,0.9,237.3,137.0,0.37,0.71
1982-08-31,793.2,2235.0,0.0,245.0,144.0,0.42,0.98
1982-09-30,791.6,1990.0,0.0,237.0,142.0,0.32,1.69
1982-10-31,861.7,2027.0,0.0,242.3,144.0,0.99,2.22
1982-11-30,890.6,1879.0,0.0,233.1,137.0,0.28,2.15
1982-12-31,889.6,2311.0,188.5,165.4,114.0,-0.22,2.36
1983-01-31,866.6,2524.0,235.9,169.4,110.0,-0.35,2.5
1983-02-28,771.2,2408.0,401.09999999999997,124.5,92.0,-0.59,2.1
1983-03-31,868.1,2617.0,404.1,171.2,104.0,-0.98,1.62
1983-04-30,839.3,2555.0,283.9,126.7,94.0,-0.91,1.36
1983-05-31,854.8,2662.0,406.5,142.6,105.0,-0.14,1.33
1983-06-30,804.6,2382.0,30.3,217.4,107.0,0.33,0.93
1983-07-31,799.9,2379.0,0.0,241.1,125.0,0.72,0.24
1983-08-31,814.7,2304.0,0.0,245.7,146.0,0.39,0.01
1983-09-30,824.2,2064.0,0.0,236.4,133.0,0.31,-0.31
1983-10-31,892.3,2216.0,22.1,199.9,132.0,-0.02,-0.91
1983-11-30,846.5,2261.0,175.5,148.6,117.0,0.03,-1.04
1983-12-31,859.9,2463.0,202.9,159.3,105.0,-0.11,-0.85
1984-01-31,821.3,2624.0,623.8,104.0,113.0,-0.12,-0.51
1984-02-29,766.5,2485.0,443.3,102.4,114.0,-0.09,-0.02
1984-03-31,837.2,2627.0,322.9,128.2,101.0,-0.08,-0.26
1984-04-30,823.3,2512.0,163.3,136.0,108.0,0.32,-0.27
1984-05-31,855.1,2542.0,150.7,181.5,115.0,-0.35,-0.31
1984-06-30,793.3,2350.0,45.7,207.6,119.0,-0.35,-0.53
1984-07-31,821.7,2433.0,43.4,236.9,139.0,-0.52,-0.17
1984-08-31,828.3,2318.0,0.0,240.8,138.0,-0.32,0.01
1984-09-30,818.0,2325.0,25.9,173.0,121.0,-0.27,-0.14
1984-10-31,881.1,2259.0,121.3,206.9,117.0,-0.22,-0.44
1984-11-30,861.1,2221.0,73.69999999999999,180.6,113.0,-0.42,-0.94
1984-12-31,842.7,2502.0,281.9,105.1,109.0,-0.22,-1.17
1985-01-31,849.3,2556.0,417.5,169.3,103.0,-0.07,-0.99
1985-02-28,758.5,2380.0,234.3,94.4,95.0,-0.16,-0.55
1985-03-31,851.9,2566.0,432.0,178.6,107.0,-0.18,-0.54
1985-04-30,827.4,2466.0,129.5,147.4,107.0,-0.25,-0.77
1985-05-31,854.5,2505.0,62.7,199.4,112.0,0.08,-0.6
1985-06-30,806.3,2423.0,52.800000000000004,209.6,109.0,-0.44,-0.54
1985-07-31,810.3,2455.0,136.70000000000002,228.9,127.0,-0.01,-0.4
1985-08-31,823.2,2335.0,54.7,242.8,143.0,-0.06,-0.3
1985-09-30,821.4,2164.0,0.0,222.3,129.0,0.1,-0.5
1985-10-31,884.5,2160.0,74.10000000000001,227.1,121.0,-0.13,-0.25
1985-11-30,857.8,2245.0,128.7,170.7,107.0,0.46,-0.13
1985-12-31,855.4,2485.0,298.5,126.8,103.0,0.18,-0.23
1986-01-31,833.1,2567.0,383.2,88.5,148.0,0.03,-0.49
1986-02-28,746.2,2335.0,341.59999999999997,128.1,109.0,0.14,-0.52
1986-03-31,839.5,2602.0,360.5,128.3,100.0,0.42,-0.16
1986-04-30,832.4,2440.0,227.1,182.7,108.0,0.19,0.08
1986-05-31,860.9,2400.0,144.6,231.4,123.0,0.23,-0.1
1986-06-30,809.9,2511.0,340.6,165.7,112.0,0.12,0.07
1986-07-31,819.0,2380.0,1.4000000000000001,225.9,116.0,-0.25,0.23
1986-08-31,802.9,2300.0,59.4,229.6,135.0,0.22,0.58
1986-09-30,820.8,2168.0,0.0,217.9,132.0,0.63,0.73
1986-10-31,878.4,2212.0,42.300000000000004,200.4,120.0,0.17,1.04
1986-11-30,849.6,2188.0,100.10000000000001,150.8,100.0,0.63,1.24
1986-12-31,880.8,2360.0,82.6,187.6,110.0,-0.06,1.29
1987-01-31,836.9,2579.0,500.0,111.5,120.0,-0.07,1.29
1987-02-28,749.0,2339.0,441.7,142.8,111.0,-0.27,1.3
1987-03-31,864.9,2500.0,159.7,170.2,117.0,-0.28,1.23
1987-04-30,850.9,2373.0,260.9,205.5,130.0,-0.56,0.98
1987-05-31,865.5,2422.0,137.8,211.8,133.0,0.11,1.05
1987-06-30,823.0,2321.0,54.099999999999994,212.2,139.0,-0.02,1.29
1987-07-31,835.7,2312.0,0.0,234.8,134.0,-0.26,1.63
1987-08-31,817.1,2172.0,0.0,241.7,123.0,0.19,1.82
1987-09-30,825.7,2049.0,0.0,239.2,132.0,0.37,1.84
1987-10-31,902.0,1973.0,0.0,243.7,126.0,0.36,1.47
1987-11-30,885.4,2085.0,139.5,180.7,113.0,0.0,1.31
1987-12-31,868.3,2446.0,298.5,149.6,114.0,-0.03,1.12
1988-01-31,863.9,2569.0,436.3,129.7,93.0,0.15,1.06
1988-02-29,805.1,2350.0,282.6,154.7,97.0,-0.18,0.45
1988-03-31,873.7,2523.0,169.8,142.0,107.0,-0.04,0.35
1988-04-30,855.3,2328.0,130.2,203.6,120.0,0.08,-0.04
1988-05-31,873.9,2517.0,167.79999999999998,189.1,108.0,-0.55,-0.82
1988-06-30,818.0,2348.0,127.10000000000001,211.9,120.0,-0.14,-1.36
1988-07-31,815.3,2314.0,0.0,232.2,120.0,-0.09,-1.4
1988-08-31,835.8,2279.0,4.8999999999999995,223.5,130.0,-0.12,-0.93
1988-09-30,837.6,2056.0,0.0,233.3,126.0,-0.43,-0.8
1988-10-31,898.0,2161.0,17.5,190.2,114.0,-0.49,-1.65
1988-11-30,855.6,2248.0,124.2,129.6,102.0,-0.35,-1.8
1988-12-31,842.8,2441.0,291.9,142.2,112.0,0.02,-1.79
1989-01-31,856.0,2531.0,341.8,156.0,95.0,-0.51,-1.8
1989-02-28,739.1,2364.0,349.7,110.1,105.0,0.13,-1.29
1989-03-31,837.7,2559.0,183.8,133.4,101.0,-0.2,-0.95
1989-04-30,823.3,2449.0,216.5,167.7,85.0,-0.22,-0.67
1989-05-31,856.9,2513.0,314.8,199.0,109.0,-0.33,-0.44
1989-06-30,805.1,2502.0,284.7,164.2,98.0,-0.64,-0.21
1989-07-31,835.8,2482.0,79.0,214.6,116.0,-0.09,-0.24
1989-08-31,818.9,2365.0,76.2,225.6,126.0,-0.63,-0.27
1989-09-30,814.7,2147.0,0.0,227.6,120.0,-0.37,-0.1
1989-10-31,874.6,2245.0,95.9,209.5,110.0,-0.64,-0.16
1989-11-30,852.2,2254.0,77.89999999999999,190.5,96.0,-0.37,-0.21
1989-12-31,864.1,2499.0,187.3,176.9,99.0,-0.31,0.04
1990-01-31,821.5,2668.0,332.9,96.4,117.0,0.3,0.18
1990-02-28,756.8,2361.0,167.7,145.8,89.0,-0.15,0.39
1990-03-31,841.3,2613.0,182.2,153.5,110.0,-0.07,0.3
1990-04-30,835.3,2507.0,291.7,186.0,95.0,-0.32,0.49
1990-05-31,862.8,2567.0,185.79999999999998,196.9,95.0,-0.54,0.51
1990-06-30,814.7,2380.0,45.0,217.8,108.0,-0.46,0.29
1990-07-31,824.9,2415.0,13.2,225.4,116.0,-0.05,0.43
1990-08-31,828.1,2341.0,0.0,232.8,118.0,-0.37,0.48
1990-09-30,823.4,2148.0,0.2,235.6,126.0,-0.35,0.42
1990-10-31,888.5,2088.0,0.0,243.7,125.0,-0.93,0.46
1990-11-30,884.4,2071.0,3.8,219.8,98.0,-0.64,0.35
1990-12-31,840.1,2624.0,422.5,118.0,95.0,-0.36,0.53
1991-01-31,836.0,2682.0,651.6,142.3,104.0,0.0,0.65
1991-02-28,746.7,2429.0,453.8,114.1,113.0,0.02,0.49
1991-03-31,858.1,2532.0,116.5,188.1,94.0,-0.12,0.29
1991-04-30,806.3,2654.0,369.59999999999997,97.0,86.0,0.62,0.6
1991-05-31,847.6,2497.0,156.7,228.1,112.0,0.92,0.7
1991-06-30,795.0,2391.0,4.6,215.1,103.0,0.46,0.9
1991-07-31,807.0,2399.0,1.0,235.2,122.0,0.23,1.1
1991-08-31,788.2,2349.0,0.0,246.4,128.0,-0.13,0.94
1991-09-30,799.5,2144.0,0.0,229.5,106.0,0.34,0.62
1991-10-31,867.4,2107.0,0.0,244.3,120.0,0.3,1.1
1991-11-30,851.9,2235.0,27.9,173.3,101.0,0.28,1.43
1991-12-31,854.8,2567.0,195.4,135.9,95.0,0.26,1.85
1992-01-31,833.2,2646.0,604.6,177.5,103.0,-0.48,1.98
1992-02-29,782.4,2456.0,264.4,188.5,101.0,-0.7,1.94
