date,temp_avg,hum_avg,rainfall,sunshine,wind_velo
1981-01-04,104.3,352.0,102.2,32.0,6.0
1981-01-11,185.5,572.0,72.1,56.0,32.0
1981-01-18,182.1,575.0,22.5,56.0,37.0
1981-01-25,184.8,569.0,153.4,56.0,26.0
1981-02-01,184.2,568.0,153.3,56.0,32.0
1981-02-08,182.0,595.0,102.8,56.0,29.0
1981-02-15,187.5,564.0,132.4,56.0,22.0
1981-02-22,190.9,560.0,86.9,56.0,21.0
1981-03-01,181.1,620.0,243.8,56.0,16.0
1981-03-08,188.2,581.0,78.4,56.0,13.0
1981-03-15,193.7,549.0,76.3,56.0,12.0
1981-03-22,199.9,520.0,13.0,56.0,22.0
1981-03-29,194.2,573.0,128.6,56.0,14.0
1981-04-05,193.8,580.0,64.5,56.0,17.0
1981-04-12,194.8,558.0,98.0,56.0,15.0
1981-04-19,191.6,552.0,51.5,56.0,14.0
1981-04-26,192.8,581.0,136.5,56.0,15.0
1981-05-03,191.6,575.0,91.0,56.0,15.0
1981-05-10,190.2,599.0,147.5,56.0,20.0
1981-05-17,194.3,577.0,33.8,56.0,20.0
1981-05-24,191.1,523.0,0.0,56.0,19.0
1981-05-31,193.4,528.0,0.0,56.0,18.0
1981-06-07,197.7,514.0,0.0,56.0,15.0
1981-06-14,195.7,517.0,31.599999999999998,56.0,21.0
1981-06-21,192.2,542.0,53.2,56.0,19.0
1981-06-28,189.2,583.0,81.6,56.0,14.0
1981-07-05,189.5,539.0,0.0,56.0,14.0
1981-07-12,187.7,568.0,26.699999999999996,56.0,12.0
1981-07-19,188.1,550.0,9.1,56.0,18.0
1981-07-26,188.4,512.0,0.0,56.0,12.0
1981-08-02,187.9,518.0,6.0,56.0,14.0
1981-08-09,186.8,508.0,0.0,56.0,19.0
1981-08-16,185.1,493.0,0.0,56.0,21.0
1981-08-23,193.4,505.0,0.0,56.0,23.0
1981-08-30,191.7,492.0,0.0,56.0,25.0
1981-09-06,192.3,491.0,0.0,56.0,22.0
1981-09-13,195.4,494.0,0.0,56.0,28.0
1981-09-20,197.2,483.0,0.0,56.0,28.0
1981-09-27,190.5,532.0,7.6,56.0,25.0
1981-10-04,195.2,549.0,12.2,56.0,20.0
1981-10-11,198.9,489.0,0.0,56.0,22.0
1981-10-18,200.8,476.0,0.0,56.0,23.0
1981-10-25,201.4,469.0,1.0,56.0,22.0
1981-11-01,207.9,470.0,13.0,56.0,24.0
1981-11-08,205.0,483.0,0.0,56.0,20.0
1981-11-15,191.8,577.0,55.3,56.0,15.0
1981-11-22,197.3,543.0,24.5,56.0,19.0
1981-11-29,187.0,595.0,61.9,56.0,15.0
1981-12-06,187.3,585.0,25.3,56.0,20.0
1981-12-13,189.6,578.0,129.1,56.0,19.0
1981-12-20,188.4,589.0,145.3,56.0,20.0
1981-12-27,194.6,560.0,81.3,56.0,23.0
1982-01-03,189.6,592.0,60.8,56.0,19.0
1982-01-10,185.7,601.0,96.19999999999999,56.0,28.0
1982-01-17,182.1,607.0,135.5,56.0,38.0
1982-01-24,184.0,578.0,87.2,56.0,33.0
1982-01-31,188.9,553.0,87.1,56.0,32.0
1982-02-07,183.3,604.0,274.5,36.2,25.0
1982-02-14,182.6,603.0,141.9,30.0,29.0
1982-02-21,187.6,568.0,67.0,37.2,31.0
1982-02-28,189.0,589.0,96.4,33.0,28.0
1982-03-07,184.79999999999998,596.0,105.2,32.0,27.0
1982-03-14,182.4,618.0,109.19999999999999,28.7,27.0
1982-03-21,192.2,560.0,121.8,42.3,29.0
1982-03-28,189.6,557.0,23.000000000000004,41.4,27.0
1982-04-04,193.1,556.0,0.5,43.1,25.0
1982-04-11,189.4,577.0,79.9,34.7,22.0
1982-04-18,190.8,567.0,72.3,43.1,30.0
1982-04-25,197.1,552.0,120.1,45.0,26.0
1982-05-02,192.7,566.0,7.9,48.5,26.0
1982-05-09,190.6,536.0,20.0,53.6,17.0
1982-05-16,184.6,505.0,0.0,56.0,21.0
1982-05-23,188.7,533.0,34.0,52.7,27.0
1982-05-30,193.9,537.0,0.0,51.1,22.0
1982-06-06,191.8,547.0,1.4,41.3,26.0
1982-06-13,185.5,535.0,1.8,53.1,24.0
1982-06-20,184.8,509.0,0.0,55.8,25.0
1982-06-27,181.5,515.0,2.3,55.4,29.0
1982-07-04,185.0,533.0,0.0,56.0,33.0
1982-07-11,174.2,513.0,0.0,56.0,33.0
1982-07-18,183.2,514.0,0.9,53.4,32.0
1982-07-25,184.70000000000002,537.0,0.0,49.4,30.0
1982-08-01,178.6,512.0,0.0,54.5,31.0
1982-08-08,180.9,529.0,0.0,54.4,35.0
1982-08-15,179.6,510.0,0.0,55.8,30.0
1982-08-22,177.2,485.0,0.0,56.0,31.0
1982-08-29,177.0,495.0,0.0,56.0,33.0
1982-09-05,177.7,474.0,0.0,54.3,36.0
1982-09-12,181.0,463.0,0.0,55.5,30.0
1982-09-19,187.1,477.0,0.0,54.0,33.0
1982-09-26,189.6,457.0,0.0,56.0,35.0
1982-10-03,189.5,456.0,0.0,56.0,29.0
1982-10-10,191.9,464.0,0.0,55.5,32.0
1982-10-17,196.0,440.0,0.0,53.2,32.0
1982-10-24,194.8,466.0,0.0,55.1,31.0
1982-10-31,197.8,460.0,0.0,54.5,37.0
1982-11-07,203.6,434.0,0.0,55.1,34.0
1982-11-14,209.5,433.0,0.0,54.2,29.0
1982-11-21,206.9,433.0,0.0,53.8,28.0
1982-11-28,210.1,453.0,0.0,55.199999999999996,38.0
1982-12-05,204.1,483.0,44.3,48.4,27.0
1982-12-12,203.2,504.0,5.5,38.0,25.0
1982-12-19,206.4,482.0,1.2,45.9,27.0
